supplier_id,supplier_name,contact_person,email,phone,country,lead_time_days,payment_terms,last_audit_date,risk_score
SUP-070,MALAYSIA SUPPLIER 070 SDN BHD,Lee 70,procurement70@supplier070.example.com,+60167076506,Malaysia,43,COD,Sep 08 2023,0.56
SUP-071,Malaysia Supplier 071 Sdn Bhd,Nurul 71,procurement71@supplier071.example.com,,Malaysia,32,COD,2024-01-11,0.31
SUP-072,Singapore Supplier 072 Sdn Bhd,Lee 72,,+60148563202,Singapore,18,COD,06/05/2023,0.21
SUP-073,SINGAPORE SUPPLIER 073 SDN BHD,Kumar 73,procurement73@supplier073.example.com,+60109293086,Singapore,23,NET 45,2023-07-14,0.42
SUP-074,MALAYSIA SUPPLIER 074 SDN BHD,Kumar 74,,+60145635017,Malaysia,38,Net 30,May 13 2023,0.18
SUP-075,CHINA SUPPLIER 075 SDN BHD,Ahmad 75,,+60169196976,China,38,Net 45,Feb 13 2023,0.62
SUP-076,MALAYSIA SUPPLIER 076 SDN BHD,Tan 76,procurement76@supplier076.example.com,+60102561176,Malaysia,21,Net 45,2023-09-09,0.44
SUP-077,Malaysia Supplier 077 Sdn Bhd,Nurul 77,procurement77@supplier077.example.com,+60158939993,Malaysia,38,Net 15,Jun 06 2023,0.47
SUP-078,Malaysia Supplier 078 Sdn Bhd,Nurul 78,procurement78@supplier078.example.com,+60156902401,Malaysia,32,Net 60,Jan 17 2024,0.31
SUP-079,Malaysia Supplier 079 Sdn Bhd,Ahmad 79,procurement79@supplier079.example.com,+60153005795,Malaysia,37,Net 45,Mar 03 2023,0.20
SUP-080,Malaysia Supplier 080 Sdn Bhd,Kumar 80,procurement80@supplier080.example.com,+60199801946,Malaysia,41,Net 60,2023-09-05,0.18
SUP-081,MALAYSIA SUPPLIER 081 SDN BHD,Ahmad 81,procurement81@supplier081.example.com,+60154010529,Malaysia,22,Net 30,2023-06-01,0.55
SUP-082,CHINA SUPPLIER 082 SDN BHD,Lee 82,procurement82@supplier082.example.com,+60185901239,China,11,COD,2023-01-24,0.13
SUP-083,Malaysia Supplier 083 Sdn Bhd,Kumar 83,procurement83@supplier083.example.com,+60179031491,Malaysia,31,Net 60,2023-10-21,0.57
SUP-084,Malaysia Supplier 084 Sdn Bhd,Tan 84,procurement84@supplier084.example.com,+60112096280,Malaysia,28,COD,2023-05-10,0.63
SUP-085,Malaysia Supplier 085 Sdn Bhd,Lee 85,procurement85@supplier085.example.com,+60123503120,Malaysia,39,Net 60,2023-12-18,0.40
SUP-086,MALAYSIA SUPPLIER 086 SDN BHD,Nurul 86,procurement86@supplier086.example.com,+60164786401,Malaysia,36,COD,2023-03-02,0.65
SUP-087,Malaysia Supplier 087 Sdn Bhd,Nurul 87,procurement87@supplier087.example.com,+60166123430,Malaysia,39,Net 15,Jun 02 2023,0.60
SUP-088,MALAYSIA SUPPLIER 088 SDN BHD,Lee 88,procurement88@supplier088.example.com,+60134540415,Malaysia,19,Net 30,Jan 14 2024,0.42
SUP-089,Malaysia Supplier 089 Sdn Bhd,Lee 89,procurement89@supplier089.example.com,,Malaysia,29,COD,Oct 10 2023,0.19
SUP-090,Singapore Supplier 090 Sdn Bhd,Ahmad 90,,+60145743227,Singapore,32,Net 30,17/01/2023,0.33
SUP-091,THAILAND SUPPLIER 091 SDN BHD,Nurul 91,procurement91@supplier091.example.com,+60138132648,Thailand,10,NET 15,2023-05-16,0.19
SUP-092,MALAYSIA SUPPLIER 092 SDN BHD,Ahmad 92,procurement92@supplier092.example.com,+60112000560,Malaysia,13,Net 60,17/05/2023,0.44
SUP-093,Singapore Supplier 093 Sdn Bhd,Kumar 93,procurement93@supplier093.example.com,+60173086308,Singapore,32,NET 60,2023-10-19,0.50
SUP-094,Malaysia Supplier 094 Sdn Bhd,Nurul 94,procurement94@supplier094.example.com,+60178344375,Malaysia,8,Net 15,Sep 14 2023,0.62
SUP-095,MALAYSIA SUPPLIER 095 SDN BHD,Kumar 95,,+60195200476,Malaysia,4,Net 30,12/01/2024,0.58
SUP-096,Malaysia Supplier 096 Sdn Bhd,Nurul 96,procurement96@supplier096.example.com,+60105521644,Malaysia,39,Net 30,2023-10-22,0.63
SUP-097,Malaysia Supplier 097 Sdn Bhd,Tan 97,procurement97@supplier097.example.com,+60144044882,Malaysia,40,COD,2023-11-30,0.33
SUP-098,THAILAND SUPPLIER 098 SDN BHD,Tan 98,procurement98@supplier098.example.com,+60157850944,Thailand,24,Net 60,16/02/2023,0.54
SUP-099,Thailand Supplier 099 Sdn Bhd,Kumar 99,procurement99@supplier099.example.com,+60169312590,Thailand,21,COD,24/03/2023,0.11
SUP-100,China Supplier 100 Sdn Bhd,Kumar 100,,+60146423634,China,10,COD,Feb 15 2023,0.07
SUP-101,CHINA SUPPLIER 101 SDN BHD,Nurul 101,procurement101@supplier101.example.com,+60177933143,China,6,NET 45,01/01/2023,0.54
SUP-102,China Supplier 102 Sdn Bhd,Tan 102,procurement102@supplier102.example.com,+60171865901,China,16,NET 60,Jan 23 2024,0.27
SUP-103,China Supplier 103 Sdn Bhd,Tan 103,,,China,4,Net 15,28/05/2023,0.13
SUP-104,Malaysia Supplier 104 Sdn Bhd,Nurul 104,,+60107844947,Malaysia,8,Net 45,2023-06-09,0.48
SUP-105,MALAYSIA SUPPLIER 105 SDN BHD,Ahmad 105,,+60175896624,Malaysia,35,NET 60,Mar 02 2023,0.33
SUP-106,Malaysia Supplier 106 Sdn Bhd,Ahmad 106,procurement106@supplier106.example.com,+60173426689,Malaysia,27,NET 45,30/08/2023,0.55
SUP-107,SINGAPORE SUPPLIER 107 SDN BHD,Lee 107,procurement107@supplier107.example.com,+60147961578,Singapore,24,NET 15,Mar 11 2023,0.35
SUP-108,Malaysia Supplier 108 Sdn Bhd,Kumar 108,procurement108@supplier108.example.com,+60199214801,Malaysia,12,COD,May 25 2023,0.54
SUP-109,China Supplier 109 Sdn Bhd,Nurul 109,,+60187328534,China,32,Net 60,Jun 20 2023,0.34
SUP-110,MALAYSIA SUPPLIER 110 SDN BHD,Nurul 110,procurement110@supplier110.example.com,,Malaysia,29,Net 30,2023-05-03,0.64
SUP-111,Malaysia Supplier 111 Sdn Bhd,Tan 111,procurement111@supplier111.example.com,+60163551903,Malaysia,34,Net 30,2023-12-28,0.50
SUP-112,Malaysia Supplier 112 Sdn Bhd,Kumar 112,procurement112@supplier112.example.com,,Malaysia,9,Net 15,30/10/2023,0.35
SUP-113,MALAYSIA SUPPLIER 113 SDN BHD,Tan 113,procurement113@supplier113.example.com,+60122255409,Malaysia,33,NET 60,15/03/2023,0.06
SUP-114,Malaysia Supplier 114 Sdn Bhd,Lee 114,procurement114@supplier114.example.com,+60159952696,Malaysia,27,Net 60,23/07/2023,0.42
SUP-115,THAILAND SUPPLIER 115 SDN BHD,Tan 115,procurement115@supplier115.example.com,+60181602286,Thailand,42,Net 30,2024-01-24,0.48
SUP-116,Malaysia Supplier 116 Sdn Bhd,Ahmad 116,procurement116@supplier116.example.com,+60118280833,Malaysia,9,Net 30,2023-05-28,0.43
SUP-117,MALAYSIA SUPPLIER 117 SDN BHD,Lee 117,procurement117@supplier117.example.com,+60106442103,Malaysia,6,Net 60,2023-06-03,0.15
SUP-118,MALAYSIA SUPPLIER 118 SDN BHD,Ahmad 118,procurement118@supplier118.example.com,+60187913081,Malaysia,39,Net 45,2023-03-16,0.27
SUP-119,MALAYSIA SUPPLIER 119 SDN BHD,Tan 119,procurement119@supplier119.example.com,,Malaysia,34,Net 15,2023-11-09,0.16
SUP-120,Malaysia Supplier 120 Sdn Bhd,Kumar 120,procurement120@supplier120.example.com,+60175283671,Malaysia,45,Net 30,Nov 23 2023,0.19
SUP-121,Malaysia Supplier 121 Sdn Bhd,Nurul 121,procurement121@supplier121.example.com,+60122239197,Malaysia,31,Net 60,13/12/2023,0.59
SUP-122,Singapore Supplier 122 Sdn Bhd,Kumar 122,procurement122@supplier122.example.com,,Singapore,15,COD,06/08/2023,0.23
SUP-123,Malaysia Supplier 123 Sdn Bhd,Nurul 123,procurement123@supplier123.example.com,+60155963914,Malaysia,21,Net 30,2023-07-15,0.11
SUP-124,THAILAND SUPPLIER 124 SDN BHD,Nurul 124,procurement124@supplier124.example.com,+60109333700,Thailand,21,NET 45,Jan 05 2023,0.29
SUP-125,Singapore Supplier 125 Sdn Bhd,Ahmad 125,procurement125@supplier125.example.com,+60195204819,Singapore,45,Net 45,Apr 23 2023,0.53
SUP-126,THAILAND SUPPLIER 126 SDN BHD,Lee 126,,+60148395785,Thailand,5,Net 15,Nov 18 2023,0.11
SUP-127,Malaysia Supplier 127 Sdn Bhd,Kumar 127,procurement127@supplier127.example.com,+60157970985,Malaysia,14,Net 45,2023-02-16,0.49
SUP-128,Malaysia Supplier 128 Sdn Bhd,Nurul 128,procurement128@supplier128.example.com,+60185572250,Malaysia,13,Net 60,07/07/2023,0.52
SUP-129,Malaysia Supplier 129 Sdn Bhd,Kumar 129,procurement129@supplier129.example.com,+60118857296,Malaysia,7,Net 45,2023-06-01,0.63
SUP-130,Malaysia Supplier 130 Sdn Bhd,Tan 130,procurement130@supplier130.example.com,+60187136687,Malaysia,8,COD,Jan 06 2024,0.57
SUP-131,Malaysia Supplier 131 Sdn Bhd,Tan 131,procurement131@supplier131.example.com,,Malaysia,40,COD,05/03/2023,0.21
SUP-132,Thailand Supplier 132 Sdn Bhd,Ahmad 132,procurement132@supplier132.example.com,,Thailand,42,Net 15,25/02/2023,0.61
SUP-133,Malaysia Supplier 133 Sdn Bhd,Lee 133,procurement133@supplier133.example.com,+60176069909,Malaysia,44,COD,24/04/2023,0.60
SUP-134,MALAYSIA SUPPLIER 134 SDN BHD,Kumar 134,procurement134@supplier134.example.com,+60172948178,Malaysia,9,Net 45,2023-01-20,0.13
SUP-135,China Supplier 135 Sdn Bhd,Kumar 135,procurement135@supplier135.example.com,+60188031780,China,40,NET 45,Aug 21 2023,0.13
SUP-136,Malaysia Supplier 136 Sdn Bhd,Nurul 136,procurement136@supplier136.example.com,+60165693260,Malaysia,5,NET 60,08/09/2023,0.44
SUP-137,MALAYSIA SUPPLIER 137 SDN BHD,Kumar 137,,+60117162857,Malaysia,37,Net 60,May 01 2023,0.32
SUP-138,Malaysia Supplier 138 Sdn Bhd,Lee 138,procurement138@supplier138.example.com,,Malaysia,45,Net 45,2023-04-08,0.83
SUP-139,Thailand Supplier 139 Sdn Bhd,Lee 139,,+60155086407,Thailand,11,Net 15,11/01/2023,0.43
SUP-140,Malaysia Supplier 140 Sdn Bhd,Nurul 140,procurement140@supplier140.example.com,+60134623062,Malaysia,17,Net 60,2024-01-27,0.09
SUP-141,Malaysia Supplier 141 Sdn Bhd,Lee 141,procurement141@supplier141.example.com,+60143427461,Malaysia,11,Net 15,Nov 02 2023,0.52
SUP-142,MALAYSIA SUPPLIER 142 SDN BHD,Lee 142,,+60121249314,Malaysia,25,Net 45,26/02/2023,0.53
SUP-143,SINGAPORE SUPPLIER 143 SDN BHD,Kumar 143,procurement143@supplier143.example.com,+60103126655,Singapore,29,Net 15,2023-03-31,0.24
SUP-144,MALAYSIA SUPPLIER 144 SDN BHD,Tan 144,procurement144@supplier144.example.com,+60159610704,Malaysia,40,Net 30,2023-09-01,0.50
SUP-145,Malaysia Supplier 145 Sdn Bhd,Lee 145,procurement145@supplier145.example.com,+60186060517,Malaysia,32,Net 30,Nov 11 2023,0.35
SUP-146,Malaysia Supplier 146 Sdn Bhd,Tan 146,procurement146@supplier146.example.com,+60119225346,Malaysia,31,Net 30,2023-07-25,0.65
SUP-147,Malaysia Supplier 147 Sdn Bhd,Lee 147,,+60125614002,Malaysia,42,Net 15,17/03/2023,0.24
SUP-148,China Supplier 148 Sdn Bhd,Nurul 148,procurement148@supplier148.example.com,,China,32,Net 15,15/07/2023,0.48
SUP-149,Singapore Supplier 149 Sdn Bhd,Lee 149,procurement149@supplier149.example.com,+60184607488,Singapore,30,COD,Dec 26 2023,0.31
SUP-150,Malaysia Supplier 150 Sdn Bhd,Tan 150,procurement150@supplier150.example.com,,Malaysia,23,COD,Aug 21 2023,0.30
SUP-151,Malaysia Supplier 151 Sdn Bhd,Ahmad 151,procurement151@supplier151.example.com,+60172126310,Malaysia,8,NET 30,Jul 11 2023,0.45
SUP-152,Malaysia Supplier 152 Sdn Bhd,Kumar 152,procurement152@supplier152.example.com,+60122006313,Malaysia,40,Net 15,Jan 17 2024,0.31
SUP-153,China Supplier 153 Sdn Bhd,Tan 153,procurement153@supplier153.example.com,+60158095702,China,6,Net 60,2023-03-04,0.25
SUP-154,Singapore Supplier 154 Sdn Bhd,Nurul 154,procurement154@supplier154.example.com,+60184569164,Singapore,12,COD,Feb 23 2023,0.24
SUP-155,Malaysia Supplier 155 Sdn Bhd,Nurul 155,procurement155@supplier155.example.com,+60152927455,Malaysia,20,Net 15,29/06/2023,0.56
SUP-156,Malaysia Supplier 156 Sdn Bhd,Nurul 156,procurement156@supplier156.example.com,+60191440466,Malaysia,41,Net 60,15/10/2023,0.53
SUP-157,Malaysia Supplier 157 Sdn Bhd,Kumar 157,procurement157@supplier157.example.com,+60156889195,Malaysia,3,Net 45,2023-12-26,0.16
SUP-158,Malaysia Supplier 158 Sdn Bhd,Lee 158,procurement158@supplier158.example.com,+60121514340,Malaysia,8,Net 15,25/07/2023,0.39
SUP-159,Malaysia Supplier 159 Sdn Bhd,Kumar 159,procurement159@supplier159.example.com,+60127208460,Malaysia,22,Net 60,Aug 21 2023,0.28
SUP-160,Singapore Supplier 160 Sdn Bhd,Ahmad 160,procurement160@supplier160.example.com,,Singapore,8,NET 60,2023-01-27,0.41
SUP-161,MALAYSIA SUPPLIER 161 SDN BHD,Nurul 161,procurement161@supplier161.example.com,,Malaysia,20,Net 45,Sep 06 2023,0.45
SUP-162,China Supplier 162 Sdn Bhd,Lee 162,procurement162@supplier162.example.com,+60149164342,China,36,NET 60,09/08/2023,0.12
SUP-163,Malaysia Supplier 163 Sdn Bhd,Lee 163,procurement163@supplier163.example.com,,Malaysia,22,Net 45,03/11/2023,0.18
SUP-164,MALAYSIA SUPPLIER 164 SDN BHD,Kumar 164,procurement164@supplier164.example.com,+60111129686,Malaysia,34,COD,May 29 2023,0.51
SUP-165,Malaysia Supplier 165 Sdn Bhd,Ahmad 165,procurement165@supplier165.example.com,+60186941939,Malaysia,7,COD,2023-09-30,0.78
SUP-166,Malaysia Supplier 166 Sdn Bhd,Lee 166,procurement166@supplier166.example.com,+60158202195,Malaysia,39,COD,2023-08-24,0.31
SUP-167,Thailand Supplier 167 Sdn Bhd,Tan 167,procurement167@supplier167.example.com,+60106448705,Thailand,13,Net 15,2023-02-28,0.30
SUP-168,Malaysia Supplier 168 Sdn Bhd,Lee 168,procurement168@supplier168.example.com,+60162776088,Malaysia,18,COD,2023-07-05,0.55
SUP-169,Singapore Supplier 169 Sdn Bhd,Tan 169,procurement169@supplier169.example.com,+60146696087,Singapore,17,Net 60,10/02/2023,0.29
SUP-170,Malaysia Supplier 170 Sdn Bhd,Lee 170,procurement170@supplier170.example.com,+60189555575,Malaysia,15,Net 60,2023-11-21,0.10
SUP-171,Malaysia Supplier 171 Sdn Bhd,Ahmad 171,procurement171@supplier171.example.com,+60132724773,Malaysia,12,Net 60,27/11/2023,0.49
SUP-172,Malaysia Supplier 172 Sdn Bhd,Lee 172,procurement172@supplier172.example.com,+60129289908,Malaysia,32,Net 15,20/03/2023,0.15
SUP-173,SINGAPORE SUPPLIER 173 SDN BHD,Nurul 173,procurement173@supplier173.example.com,+60156303930,Singapore,12,COD,2023-10-17,0.32
SUP-174,Malaysia Supplier 174 Sdn Bhd,Kumar 174,procurement174@supplier174.example.com,+60141942411,Malaysia,25,Net 15,20/11/2023,0.33
SUP-175,Malaysia Supplier 175 Sdn Bhd,Lee 175,,+60107186390,Malaysia,21,Net 30,Aug 20 2023,0.81
SUP-176,Thailand Supplier 176 Sdn Bhd,Nurul 176,procurement176@supplier176.example.com,+60199507186,Thailand,27,COD,16/02/2023,0.57
SUP-177,Singapore Supplier 177 Sdn Bhd,Lee 177,procurement177@supplier177.example.com,+60174158134,Singapore,23,Net 15,Jan 14 2024,0.38
SUP-178,Malaysia Supplier 178 Sdn Bhd,Tan 178,procurement178@supplier178.example.com,+60116761929,Malaysia,8,Net 15,2023-02-01,0.35
SUP-179,Thailand Supplier 179 Sdn Bhd,Tan 179,,+60179792411,Thailand,36,NET 15,2023-05-07,0.15
SUP-180,Malaysia Supplier 180 Sdn Bhd,Tan 180,procurement180@supplier180.example.com,,Malaysia,41,Net 30,25/05/2023,0.27
SUP-181,Thailand Supplier 181 Sdn Bhd,Kumar 181,procurement181@supplier181.example.com,+60117485471,Thailand,21,Net 60,03/02/2023,0.44
SUP-182,Thailand Supplier 182 Sdn Bhd,Ahmad 182,procurement182@supplier182.example.com,+60152367376,Thailand,40,Net 45,2023-11-05,0.63
SUP-183,Malaysia Supplier 183 Sdn Bhd,Tan 183,procurement183@supplier183.example.com,+60122421349,Malaysia,22,Net 15,Dec 02 2023,0.24
SUP-184,Malaysia Supplier 184 Sdn Bhd,Ahmad 184,procurement184@supplier184.example.com,+60182567880,Malaysia,44,COD,18/06/2023,0.44
SUP-185,China Supplier 185 Sdn Bhd,Kumar 185,procurement185@supplier185.example.com,,China,24,COD,Jul 05 2023,0.82
SUP-186,MALAYSIA SUPPLIER 186 SDN BHD,Ahmad 186,procurement186@supplier186.example.com,+60115962567,Malaysia,9,Net 15,2023-03-12,0.19
